#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
234,Dale's Pale Ale,Oskar Blues Brewery,"Brevard, NC",American Pale Ale (APA),19.2 oz.,6.50%,65
235,Dale's Pale Ale (10 Year Anniversary),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65
236,Dallas Blonde,Deep Ellum Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.20%,23
237,Dank IPA,Dad & Dude's Breweria,"Aurora, CO",American IPA,16 oz.,6.50%,N/A
238,Davy Jones Lager,Heavy Seas Beer,"Halethorpe, MD",Cream Ale,12 oz.,6%,N/A
239,DAX Light (1998),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.50%,N/A
240,Day Tripper Pale Ale,Indeed Brewing Company,"Minneapolis, MN",American Pale Ale (APA),12 oz.,5.40%,45
241,Dead Horse Amber,Moab Brewery,"Moab, UT",American Pale Wheat Ale,16 oz.,4%,N/A
242,Deadicated Amber,Devil's Canyon Brewery,"Belmont, CA",American Amber / Red Ale,16 oz.,5.40%,27
243,Deep Ellum IPA,Deep Ellum Brewing Company,"Dallas, TX",American IPA,12 oz.,7%,70
244,Deez Melons,Southern Prohibition Brewing Com...,"Hattiesburg, MS",Fruit / Vegetable Beer,16 oz.,???,N/A
245,Demshitz Brown Ale,Bonfire Brewing Company,"Eagle, CO",American Brown Ale,12 oz.,5.80%,N/A
246,Des Moines IPA,Confluence Brewing Company,"Des Moines, IA",American IPA,16 oz.,6.80%,75
247,Descender IPA,Good Life Brewing Company,"Bend, OR",American IPA,12 oz.,7%,70
248,Desert Magic IPA,Mudshark Brewing Company,"Lake Havasu City, AZ",American IPA,12 oz.,7.20%,N/A
249,Desolation IPA,Amnesia Brewing Company,"Portland, OR",American IPA,16 oz.,6.20%,43
250,Deviant Dale's IPA,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8%,N/A
