#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
853,The Deuce,Sun King Brewing Company,"Indianapolis, IN",American Brown Ale,16 oz. Alumi-Tekå¨,7%,N/A
854,The Farmer's Daughter,Lucette Brewing Company,"Menominie, WI",American Blonde Ale,16 oz.,4.80%,N/A
855,The Hole in Hadrian's Wall,Okoboji Brewing Company,"Spirit Lake, IA",Scottish Ale,16 oz.,9.50%,19
856,The Lawn Ranger,Cedar Creek Brewery,"Seven Points, TX",Cream Ale,16 oz.,5%,18
857,The One They Call Zoe,Hops & Grain Brewery,"Austin, TX",American Pale Lager,12 oz.,5.10%,N/A
858,The Public,DC Brau Brewing Company,"Washington, DC",American Pale Ale (APA),12 oz.,6%,N/A
859,The Velvet Fog,Sun King Brewing Company,"Indianapolis, IN",Quadrupel (Quad),16 oz. Alumi-Tekå¨,9%,24
860,Third Eye Pale Ale,Steamworks Brewing Company,"Durango, CO",American IPA,12 oz.,6.50%,65
861,This Season's Blonde,Aspen Brewing Company,"Aspen, CO",American Blonde Ale,12 oz.,5.60%,27
862,THP Amber (2006),Cans Bar and Canteen,"Charlotte, NC",American Amber / Red Ale,12 oz.,???,N/A
863,THP Dark (2006),Cans Bar and Canteen,"Charlotte, NC",English Dark Mild Ale,12 oz.,???,N/A
864,THP Light (2006),Cans Bar and Canteen,"Charlotte, NC",American Blonde Ale,12 oz.,???,N/A
865,THP White (2006),Cans Bar and Canteen,"Charlotte, NC",Witbier,12 oz.,???,N/A
866,Threadless IPA,Finch's Beer Company,"Chicago, IL",American IPA,16 oz.,7.50%,N/A
867,Three Kings Ale,Stevens Point Brewery,"Stevens Point, WI",KÌ¦lsch,12 oz.,4.90%,13
868,Tin Roof Blonde Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Blonde Ale,12 oz.,4.50%,18
869,Toasted Lager,Blue Point Brewing Company,"Patchogue, NY",Vienna Lager,12 oz.,5.50%,28
870,Tocobaga Red Ale,Cigar City Brewing Company,"Tampa, FL",American Amber / Red Ale,12 oz.,7.20%,75
871,Tommyknocker Ornery Amber Lager (2003),Tommyknocker Brewery,"Idaho Springs, CO",Vienna Lager,12 oz.,5.50%,33
872,Tonganoxie Honey Wheat,High Noon Saloon And Brewery,"Leavenworth, KS",American Pale Wheat Ale,12 oz.,4.40%,22
873,Top Cutter India Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American IPA,12 oz.,6.80%,70
874,Top Rope Mexican-style Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,15
875,Torpedo,Sierra Nevada Brewing Company,"Chico, CA",American IPA,16 oz.,7.20%,65
876,Tour de Nez Belgian IPA (Current),Buckbean Brewing Company,"Reno, NV",Belgian IPA,16 oz.,8%,N/A
877,Toxic Sludge,Blue Point Brewing Company,"Patchogue, NY",American Black Ale,16 oz.,7%,N/A
878,Trailhead India Style Session Ale,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,4.80%,48
879,Trebuchet Double IPA,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.70%,N/A
880,Triangle Belgian Golden Ale,Triangle Brewing Company,"Durham, NC",Belgian Strong Pale Ale,12 oz.,8%,N/A
881,Triangle India Pale Ale,Triangle Brewing Company,"Durham, NC",American IPA,12 oz.,5.70%,N/A
882,Triangle White Ale,Triangle Brewing Company,"Durham, NC",Witbier,12 oz.,5%,N/A
883,Trigger Blonde Ale,Crabtree Brewing Company,"Greeley, CO",American Blonde Ale,16 oz.,4.80%,N/A
884,Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.50%,N/A
885,True Blonde Ale,Ska Brewing Company,"Durango, CO",American Blonde Ale,12 oz.,5.30%,N/A
886,Tule Duck Red Ale (Current),Buckbean Brewing Company,"Reno, NV",American Amber / Red Ale,16 oz.,6.20%,42
887,Tumbleweed IPA,Lewis and Clark Brewing Company,"Helena, MT",American IPA,12 oz.,5.70%,N/A
888,Twister Creek India Pale Ale,Denali Brewing Company,"Talkeetna, AK",American IPA,12 oz.,6.50%,71
889,U.S. Pale Ale,Capital Brewery,"Middleton, WI",American Pale Ale (APA),12 oz.,5%,N/A
890,UFO White,Harpoon Brewery,"Boston, MA",American Pale Wheat Ale,12 oz.,4.80%,10
891,Underachiever,Engine House 9,"Tacoma, WA",American Adjunct Lager,16 oz.,5%,N/A
892,Underdog Atlantic Lager,Flying Dog Brewery,"Frederick, MD",American Pale Lager,12 oz.,4.70%,28
893,Undun Blonde Ale,Natian Brewery,"Portland, OR",American Blonde Ale,16 oz.,5.30%,N/A
894,Union Street IPA,Doylestown Brewing Company,"Doylestown, PA",American IPA,12 oz.,???,N/A
895,Universale Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,5.60%,30
896,Up River Light,Mudshark Brewing Company,"Lake Havasu City, AZ",Light Lager,12 oz.,4.20%,N/A
897,Upslope Belgian Style Pale Ale,Upslope Brewing Company,"Boulder, CO",Belgian Pale Ale,12 oz.,7.50%,N/A
898,Upslope Brown Ale,Upslope Brewing Company,"Boulder, CO",English Brown Ale,12 oz.,6.70%,N/A
899,Upslope Christmas Ale,Upslope Brewing Company,"Boulder, CO",Winter Warmer,16 oz.,8.20%,N/A
900,Upslope Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,22
901,Upslope Foreign Style Stout,Upslope Brewing Company,"Boulder, CO",Foreign / Export Stout,12 oz.,6.90%,N/A
902,Upslope India Pale Ale,Upslope Brewing Company,"Boulder, CO",American IPA,12 oz.,7.20%,N/A
903,Upslope Pale Ale,Upslope Brewing Company,"Boulder, CO",American Pale Ale (APA),12 oz.,5.80%,N/A
904,Upslope Pumpkin Ale,Upslope Brewing Company,"Boulder, CO",Pumpkin Ale,16 oz.,7.70%,N/A
905,Urban Wilderness Pale Ale,Sleeping Lady Brewing Company,"Anchorage, AK",English Pale Ale,12 oz.,4.90%,N/A
906,Vanilla Bean Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Oatmeal Stout,16 oz.,5%,N/A
907,Velvet Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16 oz.,8.50%,N/A
908,Very Noddy Lager (Current),Buckbean Brewing Company,"Reno, NV",Schwarzbier,16 oz.,10.50%,N/A
909,Vienna Lager,Revolution Brewing,"Paonia, CO",Vienna Lager,16 oz.,4.60%,N/A
910,Viennese Lager,Bohemian Brewery,"Midvale, UT",Vienna Lager,12 oz.,5%,N/A
911,Vivant Belgian Style Imperial Stout,Brewery Vivant,"Grand Rapids, MI",Russian Imperial Stout,16 oz.,10%,N/A
912,Vivant Tripel,Brewery Vivant,"Grand Rapids, MI",Tripel,16 oz.,9.20%,N/A
913,Voodoo Bengal Pale Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Pale Ale (APA),12 oz.,5.50%,37
914,Vortex IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,7.40%,97
915,Wachusett Blueberry Ale,Wachusett Brewing Company,"Westminster, MA",Fruit / Vegetable Beer,12 oz.,4.50%,10
916,Wachusett Summer,Wachusett Brewing Company,"Westminster, MA",American Pale Wheat Ale,12 oz.,4.70%,N/A
917,Walloon,Southern Star Brewing Company,"Conroe, TX",Saison / Farmhouse Ale,12 oz.,5.50%,N/A
918,Walter's Premium Pilsener Beer,Northwoods Brewpub,"Eau Claire, WI",German Pilsener,12 oz.,4.50%,N/A
919,Wapiti Amber Ale,Mogollon Brewing Company,"Flagstaff, AZ",American Amber / Red Ale,12 oz.,5%,N/A
920,Washita Wheat,Mustang Brewing Company,"Mustang, OK",American Pale Wheat Ale,12 oz.,5.30%,14
921,Watershed IPA,Oakshire Brewing,"Eugene, OR",American IPA,12 oz.,6.70%,70
922,Watership Brown Ale,Red Hare Brewing Company,"Marietta, GA",American Brown Ale,12 oz.,7.20%,55
923,Wee Mac Scottish-Style Ale,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz.,5.40%,23
924,Wee Muckle,Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz.,9%,30
925,Weisse Versa,Karbach Brewing Company,"Houston, TX",Hefeweizen,12 oz.,5.20%,15
926,West Sixth Amber Ale,West Sixth Brewing,"Lexington, KY",American Amber / Red Ale,12 oz.,5.50%,N/A
927,West Sixth IPA,West Sixth Brewing,"Lexington, KY",American IPA,12 oz.,???,N/A
928,Westbrook IPA,Westbrook Brewing Company,"Mt. Pleasant, SC",American IPA,12 oz.,6.80%,65
929,WET,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.50%,90
930,Whale's Tale Pale Ale,Cisco Brewers,"Nantucket, MA",English Pale Ale,12 oz.,5.60%,N/A
931,Wheat the People,Coalition Brewing Company,"Portland, OR",American Pale Wheat Ale,16 oz.,4.40%,13
932,White Ale,New South Brewing Company,"Myrtle Beach, SC",Witbier,12 oz.,4.60%,N/A
933,White Rascal,Avery Brewing Company,"Boulder, CO",Witbier,12 oz.,5.60%,10
934,White Thai,Westbrook Brewing Company,"Mt. Pleasant, SC",Witbier,12 oz.,5%,16
935,White Water Wheat,Grand Canyon Brewing Company,"Williams, AZ",American Pale Wheat Ale,12 oz.,5%,N/A
936,White Zombie Ale,Catawba Valley Brewing Company,"Morganton, NC",Witbier,12 oz.,???,N/A
937,Whitsun,Arcadia Brewing Company,"Battle Creek, MI",American Pale Wheat Ale,12 oz.,6.20%,17
938,Widespread Wit,Great River Brewery,"Davenport, IA",Witbier,16 oz.,5.50%,10
939,Widow Maker Black Ale,Keweenaw Brewing Company,"Houghton, MI",American Brown Ale,12 oz.,???,N/A
940,Wild Onion Pumpkin Ale,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Pumpkin Ale,12 oz.,4.50%,N/A
941,Wild Onion Summer Wit,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Witbier,12 oz.,4.20%,N/A
942,Wind River Blonde Ale,Wind River Brewing Company,"Pinedale, WY",American Blonde Ale,16 oz.,5%,N/A
943,Winter Solstice,Anderson Valley Brewing Company,"Boonville, CA",Winter Warmer,12 oz.,6.90%,6
944,Winterfest,Sockeye Brewing Company,"Boise, ID",American Strong Ale,16 oz.,8.40%,90
945,WinterWonderGrass Festival Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A
946,Wisco Disco,Stillmank Beer Company,"Green Bay, WI",American Amber / Red Ale,16 oz.,5.10%,31
947,Wisconsin Amber,Capital Brewery,"Middleton, WI",Vienna Lager,12 oz.,5.20%,N/A
948,Wisconsin Amber (1998),Capital Brewery,"Middleton, WI",Vienna Lager,12 oz.,5.20%,N/A
949,Wolf Among Weeds IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8%,70
950,Wood Splitter Pilsner,Bonfire Brewing Company,"Eagle, CO",Czech Pilsener,12 oz.,4.80%,N/A
951,Woodchuck Amber Hard Cider,Woodchuck Hard Cider,"Middlebury, VT",Cider,12 oz.,5%,N/A
952,Woolybugger Wheat,Sockeye Brewing Company,"Boise, ID",American Pale Wheat Ale,12 oz.,4.60%,12
953,Workers Comp Saison,Two Roads Brewing Company,"Stratford, CT",Saison / Farmhouse Ale,12 oz.,4.80%,N/A
954,WYLD Extra Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4%,29
955,Wynkoop Pumpkin Ale,Wynkoop Brewing Company,"Denver, CO",Pumpkin Ale,12 oz.,5.50%,N/A
956,Wyoming Pale Ale,Wind River Brewing Company,"Pinedale, WY",American Pale Ale (APA),16 oz.,7.20%,N/A
957,Yellowstone Golden Ale,Lewis and Clark Brewing Company,"Helena, MT",KÌ¦lsch,12 oz.,5.10%,N/A
958,Zaison,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9%,N/A
959,Zonker Stout,Snake River Brewing Company,"Jackson, WY",Foreign / Export Stout,12 oz.,5.40%,36
